******** random sequence config ********
dec: 2449470465, hex: 0x91fff401
dec: 558197121, hex: 0x21456981
dec: 3732375576, hex: 0xde778818
dec: 4123284235, hex: 0xf5c4530b
dec: 4009333150, hex: 0xeef9919e
dec: 3043011322, hex: 0xb560aafa
dec: 578315927, hex: 0x22786697
dec: 2504098094, hex: 0x9541812e
dec: 3485979617, hex: 0xcfc7d3e1
dec: 317551529, hex: 0x12ed73a9
dec: 2088516353, hex: 0x7c7c3b01
dec: 2708242641, hex: 0xa16c80d1
dec: 1752241053, hex: 0x6871139d
dec: 684292334, hex: 0x28c978ee
dec: 54879489, hex: 0x3456501
dec: 2190901166, hex: 0x82967fae
dec: 1910132892, hex: 0x71da509c
dec: 4251421859, hex: 0xfd678ca3
******** random sequence config ********

******** group idx: 0, burst idx: 0, slot idx: 0 ********
user id: dec: 1275120859, hex: 0x4c00ccdb, scb id: dec: 785577987, hex: 0x2ed2f803
user id: dec: 4215188992, hex: 0xfb3eae00, scb id: dec: 4020901889, hex: 0xefaa1801
user id: dec: 955828440, hex: 0x38f8c8d8, scb id: dec: 1759979522, hex: 0x68e72802
user id: dec: 2332002179, hex: 0x8aff8783, scb id: dec: 3279167489, hex: 0xc3742001
user id: dec: 3998838150, hex: 0xee596d86, scb id: dec: 1094078466, hex: 0x41365002
user id: dec: 1319814272, hex: 0x4eaac480, scb id: dec: 1547593730, hex: 0x5c3e6802
user id: dec: 1995197833, hex: 0x76ec4d89, scb id: dec: 3953328129, hex: 0xeba30001
user id: dec: 4128545553, hex: 0xf6149b11, scb id: dec: 3556913153, hex: 0xd4023001
user id: dec: 3717800830, hex: 0xdd99237e, scb id: dec: 951689217, hex: 0x38b9a001
user id: dec: 2579071218, hex: 0x99b980f2, scb id: dec: 953841665, hex: 0x38da7801

******** group idx: 0, burst idx: 0, slot idx: 1 ********
user id: dec: 3466118007, hex: 0xce98c377, scb id: dec: 4155561989, hex: 0xf7b0d805
user id: dec: 4145736737, hex: 0xf71aec21, scb id: dec: 297082884, hex: 0x11b52004
user id: dec: 2035776228, hex: 0x79577ae4, scb id: dec: 3793797125, hex: 0xe220c005
user id: dec: 1485993424, hex: 0x589275d0, scb id: dec: 2136006662, hex: 0x7f50e006
user id: dec: 3767833484, hex: 0xe094938c, scb id: dec: 3941251078, hex: 0xeaeab806
user id: dec: 4120381998, hex: 0xf5980a2e, scb id: dec: 1087207431, hex: 0x40cd7807
user id: dec: 3128962224, hex: 0xba802cb0, scb id: dec: 2891483143, hex: 0xac588807
user id: dec: 3752620743, hex: 0xdfac72c7, scb id: dec: 378273797, hex: 0x168c0005
user id: dec: 3456122446, hex: 0xce003e4e, scb id: dec: 2278670340, hex: 0x87d1c004
user id: dec: 3106281831, hex: 0xb9261967, scb id: dec: 1113880581, hex: 0x42647805

******** group idx: 0, burst idx: 0, slot idx: 2 ********
user id: dec: 856922453, hex: 0x33139955, scb id: dec: 74956811, hex: 0x477c00b
user id: dec: 491851071, hex: 0x1d510d3f, scb id: dec: 3482734601, hex: 0xcf965009
user id: dec: 2270357097, hex: 0x8752e669, scb id: dec: 802009096, hex: 0x2fcdb008
user id: dec: 3302635011, hex: 0xc4da3603, scb id: dec: 2887311369, hex: 0xac18e009
user id: dec: 3909432357, hex: 0xe9053425, scb id: dec: 4131600394, hex: 0xf643380a
user id: dec: 2323852243, hex: 0x8a832bd3, scb id: dec: 318160905, hex: 0x12f6c009
user id: dec: 1927620248, hex: 0x72e52698, scb id: dec: 3132811272, hex: 0xbabae808
user id: dec: 2305082212, hex: 0x8964c364, scb id: dec: 784005131, hex: 0x2ebaf80b
user id: dec: 807148519, hex: 0x301c1be7, scb id: dec: 734191625, hex: 0x2bc2e009
user id: dec: 3856912945, hex: 0xe5e3d231, scb id: dec: 3329677322, hex: 0xc676d80a

******** group idx: 0, burst idx: 0, slot idx: 3 ********
user id: dec: 740506095, hex: 0x2c2339ef, scb id: dec: 3795163149, hex: 0xe235980d
user id: dec: 851280866, hex: 0x32bd83e2, scb id: dec: 3312504844, hex: 0xc570d00c
user id: dec: 2046097829, hex: 0x79f4f9a5, scb id: dec: 4212770829, hex: 0xfb19c80d
user id: dec: 2298086275, hex: 0x88fa0383, scb id: dec: 3619000334, hex: 0xd7b5900e
user id: dec: 3472818432, hex: 0xceff0100, scb id: dec: 2691239948, hex: 0xa069100c
user id: dec: 3970382919, hex: 0xeca73c47, scb id: dec: 774946831, hex: 0x2e30c00f
user id: dec: 588690905, hex: 0x2316b5d9, scb id: dec: 1095305229, hex: 0x4149080d
user id: dec: 4193741319, hex: 0xf9f76a07, scb id: dec: 2780719116, hex: 0xa5be680c
user id: dec: 3556885012, hex: 0xd401c214, scb id: dec: 876873743, hex: 0x3444080f
